level : error: Aug-02-2023 17:08:61:	Wrong email or password
level : error: Aug-02-2023 18:08:98:	userData is not defined
level : error: Aug-02-2023 18:08:33:	isEmpExists is not defined
level : error: Aug-02-2023 18:08:14:	path is not defined
level : error: Aug-02-2023 18:08:42:	path is not defined
level : error: Aug-02-2023 18:08:33:	path is not defined
level : error: Aug-02-2023 18:08:50:	Employee already exists
level : error: Aug-02-2023 18:08:17:	Wrong email address
level : error: Aug-02-2023 18:08:60:	Wrong email address
level : error: Aug-02-2023 18:08:17:	Wrong email address
level : error: Aug-02-2023 18:08:97:	Wrong email address
level : error: Aug-02-2023 18:08:54:	Wrong email address
level : error: Aug-03-2023 16:08:20:	isEmpExist is not a function
level : error: Aug-03-2023 16:08:71:	Employee already exists
level : error: Aug-03-2023 16:08:23:	Employee already exists
level : error: Aug-03-2023 16:08:52:	Employee already exists
level : error: Aug-03-2023 17:08:86:	Employee already exists
level : error: Aug-03-2023 17:08:100:	Employee already exists
level : error: Aug-03-2023 17:08:19:	Employee already exists
level : error: Aug-03-2023 17:08:09:	Employee already exists
level : error: Aug-03-2023 17:08:19:	Employee already exists
level : error: Aug-03-2023 17:08:13:	Employee already exists
level : error: Aug-03-2023 17:08:48:	Employee already exists
level : error: Aug-03-2023 17:08:32:	Employee already exists
level : error: Aug-03-2023 17:08:44:	Employee already exists
level : error: Aug-03-2023 17:08:44:	Employee already exists
level : error: Aug-03-2023 17:08:46:	Employee already exists
level : error: Aug-03-2023 17:08:23:	Employee already exists
level : error: Aug-03-2023 17:08:52:	Employee already exists
level : error: Aug-03-2023 17:08:83:	Employee already exists
level : error: Aug-03-2023 17:08:31:	Employee already exists
level : error: Aug-03-2023 17:08:93:	employeeDetails is not defined
level : error: Aug-03-2023 17:08:80:	Employee already exists
level : error: Aug-03-2023 17:08:20:	Employee already exists
level : error: Aug-03-2023 17:08:86:	Employee already exists
level : error: Aug-03-2023 17:08:18:	Wrong email address
level : error: Aug-03-2023 17:08:49:	Wrong email address
level : error: Aug-03-2023 17:08:20:	Wrong email address
level : error: Aug-03-2023 17:08:99:	data and hash arguments required
level : error: Aug-03-2023 17:08:08:	data and hash arguments required
level : error: Aug-03-2023 17:08:24:	data and hash arguments required
level : error: Aug-03-2023 18:08:94:	data and hash arguments required
level : error: Aug-03-2023 18:08:56:	data and hash arguments required
level : error: Aug-03-2023 18:08:93:	data and hash arguments required
level : error: Aug-03-2023 18:08:14:	bcrypt is not defined
level : error: Aug-03-2023 18:08:50:	bcrypt is not defined
level : error: Aug-03-2023 18:08:68:	req is not defined
level : error: Aug-03-2023 18:08:69:	Wrong email address
level : error: Aug-03-2023 18:08:49:	empExists is not defined
level : error: Aug-03-2023 18:08:06:	jwt is not defined
level : error: Aug-08-2023 17:08:40:	Employee already exists
level : error: Aug-09-2023 18:08:54:	Employee already exists
level : error: Aug-09-2023 18:08:11:	Employee already exists
level : error: Aug-09-2023 18:08:47:	Employee already exists
level : error: Aug-09-2023 18:08:43:	Employee already exists
level : error: Aug-09-2023 18:08:23:	Wrong email address
level : error: Aug-09-2023 18:08:01:	Employee already exists
level : error: Aug-09-2023 18:08:12:	Wrong email address
level : error: Aug-09-2023 18:08:72:	Wrong email address
level : error: Aug-09-2023 21:08:13:	Employee already exists
level : error: Aug-10-2023 17:08:41:	Invalid role specified
level : error: Aug-10-2023 17:08:99:	Email send failed
level : error: Aug-14-2023 17:08:54:	Employee already exists
level : error: Aug-16-2023 15:08:78:	Employee already exists
level : error: Aug-16-2023 15:08:85:	Employee already exists
level : error: Aug-16-2023 15:08:21:	Employee already exists
